1,202002121240,1,46,Fail to yield generally
2,202002121240,2,0,None
3,202002121829,1,98,"Other moving violation (coasting, backing, opening door)"
4,202002121849,1,0,None
5,202002121849,2,0,None
6,202002123484,1,0,None
7,202002123576,1,0,None
8,202002125146,1,0,None
9,202002125149,1,0,None
10,202002125582,1,0,None
11,202002125582,2,0,None
12,202002125582,3,29,"Speed related violations, generally"
13,202002125582,3,72,Other driver license violations
14,202002125605,1,0,None
15,202002125637,1,0,None
16,202002125644,1,0,None
17,202002125680,1,99,Unknown Violation(s)
18,202002125680,2,0,None
19,202002125788,1,4,"Inattentive, careless, improper driving, driving without due care"
20,202002125788,2,0,None
21,202002125838,1,4,"Inattentive, careless, improper driving, driving without due care"
22,202002125838,2,71,Driving while license withdrawn
23,202002125838,2,72,Other driver license violations
24,202002125838,2,74,Vehicle registration violations
25,202002125923,1,0,None
26,202002125923,2,0,None
27,202002125942,1,0,None
28,202002125942,2,0,None
29,202002125952,1,0,None
30,202002126030,1,0,None
31,202002126030,2,0,None
32,202002126041,1,0,None
33,202002126048,1,0,None
34,202002126048,2,0,None
35,202002126072,1,58,Following too closely
36,202002126072,2,0,None
37,202002126111,1,0,None
38,202002126111,2,0,None
39,202002126123,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
40,202002126123,2,0,None
41,202002126123,3,0,None
42,202002126132,1,37,Fail to obey stop sign
43,202002126132,2,0,None
44,202002126138,1,0,None
45,202002126138,2,0,None
46,202002126317,1,0,None
47,202002126317,2,0,None
48,202002126335,1,0,None
49,202002126339,1,0,None
50,202002126339,2,0,None
51,202002126362,1,0,None
52,202002126381,1,8,"Fail to give aid, info., wait for police after crash"
53,202002126381,2,0,None
54,202002126415,1,58,Following too closely
55,202002126415,2,0,None
56,202002126544,1,0,None
57,202002126544,2,0,None
58,202002126579,1,0,None
59,202002126582,1,0,None
60,202002126587,1,0,None
61,202002126587,2,0,None
62,202002126601,1,75,Fail to carry insurance card
63,202002126601,2,0,None
64,202002126620,1,0,None
65,202002126620,2,0,None
66,202002126631,1,0,None
67,202002126634,1,0,None
68,202002126635,1,0,None
69,202002126635,2,0,None
70,202002126635,3,0,None
71,202002126648,1,0,None
72,202002126648,2,0,None
73,202002126648,3,0,None
74,202002126661,1,0,None
75,202002126661,2,0,None
76,202002126738,1,0,None
77,202002126738,2,0,None
78,202002126741,1,0,None
79,202002126745,1,0,None
80,202002126745,2,0,None
81,202002126760,1,0,None
82,202002126769,1,0,None
83,202002126769,2,0,None
84,202002126774,1,0,None
85,202002126774,2,0,None
86,202002126779,1,0,None
87,202002126780,1,0,None
88,202002126780,2,0,None
89,202002126790,1,75,Fail to carry insurance card
90,202002126794,1,0,None
91,202002126801,1,0,None
92,202002126801,2,0,None
93,202002126805,1,0,None
94,202002126805,2,0,None
95,202002126809,1,0,None
96,202002126809,2,0,None
97,202002126814,1,75,Fail to carry insurance card
98,202002126814,2,0,None
99,202002126819,1,0,None
100,202002126827,1,0,None
101,202002126827,2,0,None
102,202002126829,1,0,None
103,202002126830,1,0,None
104,202002126830,2,0,None
105,202002126878,1,0,None
106,202002126883,1,75,Fail to carry insurance card
107,202002126883,2,0,None
108,202002128018,1,0,None
109,202002128018,2,0,None
110,202002128039,1,0,None
111,202002128039,2,0,None
112,202002128066,1,0,None
113,202002128066,2,0,None
114,202002128173,1,0,None
115,202002128193,1,0,None
116,202002128193,2,0,None
117,202002128198,1,42,"Improper method & position of turn (too wide, wrong lane)"
118,202002128198,1,71,Driving while license withdrawn
119,202002128198,2,0,None
120,202002128271,1,0,None
121,202002128271,2,0,None
122,202002128279,1,8,"Fail to give aid, info., wait for police after crash"
